Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Boecht van den Afgrond	?	7%	Brouwerij Kerkom	?-heden
Boembeke Luiwerk Blond	blond, licht troebel	6,5%	Brouwerij De Graal	2012-heden
Boerinneken	hoge gisting, blond	9,5%	De Proefbrouwerij voor Verstraeten H&S	?-heden
Boerke Amber	amber	6,8%	Brouwerij Angerik	1998-?
Boerke Blond	blond	6,8%	Brouwerij Angerik	1998-heden
Boerke Bruin	bruin	6,8%	Brouwerij Angerik	1998-heden
Boerke Donker	NaN	5,5%	Brouwerij Angerik	1998-?
Boerke Krieken	fruitbier	6,5%	Brouwerij Angerik	2004-heden
Boerken	hoge gisting, bruin	9,5%	De proefbrouwerij voor Verstraeten H&S	NaN
Bokkereyer	lage gisting	6%	Brouwerij Sint-Jozef	NaN
Bolivar Blond	blond	7,5%	Brouwerij Huyghe voor Oxfam wereldwinkels	2004-2013
Bolivar Bruin	bruin	7,5%	Brouwerij Huyghe voor Oxfam wereldwinkels	2004-2013
Bolleke	amber	5,2%	Brouwerij De Koninck (Duvel-Moortgat)	1913-heden
Bolleville Calvados Barrel OA	oak aged	10%	Brouwerij Alvinne	NaN
Bokrijk (bier)	NaN	?%	Brouwerij Villers	?-?
Bokrijks	blond, abdijbier	7,2%	Brouwerij du Bocq	?-heden
Bokrijks (kruikenbier)	blond bier	8%	Brouwerij Sterkens	?-heden
Bon Homme	hoge gisting, donkerbruin	6,5%	Brouwerij De Leite	NaN
Bon Secours Ambrée	hoge gisting, amber	8%	Brouwerij Caulier	NaN
Bon Secours Blonde	hoge gisting, blond	8%	Brouwerij Caulier	NaN
Bon Secours Brune	hoge gisting, bruin	8%	Brouwerij Caulier	NaN
Bon Secours Framboise	hoge gisting, frambozenbier	7%	Brouwerij Caulier	NaN
Bon Secours Myrtille	hoge gisting, bosbessenbier	7%	Brouwerij Caulier	NaN
Bon Secours Noël	hoge gisting, blond kerstbier	10%	Brouwerij Caulier	NaN
Boneffe	abdijbier	9%	Brasserie de Tubize	NaN
Bootjes Bier	amber	7%	Brouwerij Roman voor Antwerpse Brouw Compagnie	2015-heden
Bons Voeux	blond	9,5%	Brouwerij Dupont	1980-heden
Boon Millesime	fruitbier	6.5%	Brouwerij Boon	?-heden
Boretech	NaN	?%	Brouwerij Villers	?-?
Bornem Dubbel	abdijbier	8%	Brouwerij Van Steenberge	1957-heden
Bornem Tripel	abdijbier	9%	Brouwerij Van Steenberge	1957-heden
Bosaardbeien	fruitbier	?%	Brouwerij Bios voor Dirk Labie	?-?
Bos Bier	fruitbier	9%	Brouwerij DijkWaert	2010-heden
Bosbier	fruitbier-pils	4%	Brouwerij Sint-Jozef	1989-heden
Boscoli	fruitbier	3,5%	Brouwerij Het Anker	2009-heden
Boskeun	lichtblond	7%	De Dolle Brouwers	NaN
Bosprotter	tripel	8,5%	't Hofbrouwerijke	NaN
Boum	NaN	?%	Brouwerij Villers	?-?
Bourgogne des Flandres Blond	hoge gisting, blond	6%	Brouwerij Verhaeghe nu Brouwerij Timmermans	1911-heden
Bourgogne des Flandres Bruin	oud bruin	5%	Brouwerij Verhaeghe nu Brouwerij Timmermans	1911-heden
Bras	bruin	10%	Brouwerij Den Tseut	2012-heden
Brasserie des Rocs Triple Impériale	NaN	10%	Brasserie de l'Abbaye des Rocs	NaN
Brave Broeder	hoge gisting (etiketbier)	5%	Brasserie de Silly	?-heden
Bravoure	hoge gisting, rookbier, amber	6,5%	Brouwerij De Dochter van de Korenaar	2007-heden
Bremserbier	amber	6%	Huisbrouwerij de 3 vaten	NaN
Brice	blond	7,5%	Brasserie Grain d'Orge	2003-heden
Briekebakker	tripel	8,7%	Brouwerij Alvinne	2004-heden
Brigand	blond	9%	Brouwerij Van Honsebrouck	1980-heden
Brigand IPA	India Pale Ale	6,5%	Brouwerij Van Honsebrouck	2008-2009
Broeder Jacob Bruin	bruin	7,5%	Brasserie du Bocq voor Broeder Jacob bvba	2010-heden
Broeder Jacob Double Expresso	bruin	7,7%	Brasserie du Bocq voor Broeder Jacob bvba	?-heden
Broeder Jacob Double Port	donkerbruin	9%	Brasserie du Bocq voor Broeder Jacob bvba	?-heden
Broeder Jacob Formidabel	blond	5,5%	Brasserie du Bocq voor Broeder Jacob bvba	?-heden
Broeder Jacob Tripel	tripel	7,5%	Brasserie du Bocq voor Broeder Jacob bvba	?-heden
Bruegel	amber	5%	Brouwerij Van Steenberge	?-heden
Brug Ale	speciaalbier, hoge gisting	5 %	Brasserie de Silly)	?-?
Brugge Blond	speciaalbier, hoge gisting	6,5%	Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)	?-heden
Brugge Tripel	speciaalbier, hoge gisting	8,7%	Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)	1987-heden
Brugs Tarwebier	witbier	5%	Brouwerij De Halve Maan (vroeger in Brouwerij De Gouden Boom)	1983-heden
Brugs Beertje 20	blond	6,5%	Brouwerij De Regenboog	NaN
Brugs Beertje 25	amber	9%	Brouwerij De Regenboog	NaN
Brugse Babbelaar	blond	6,5%	De Proefbrouwerij	NaN
Brugse Bok	lichtdonker	6,5%	Brouwerij De Halve Maan	NaN
Brugse Zot Blond	goudblond	6%	Brouwerij De Halve Maan	2005-heden
Brugse Zot Dubbel	bruin	7,5%	Brouwerij De Halve Maan	2005-heden
Bruin Leroy	tafelbier	1,8%	Brouwerij Het Sas	?-heden
Brune Devaux	NaN	?%	Brasserie Devaux	?-?
Brune	bruin	6,8%	Brasserie de Bellevaux	NaN
Brunehaut Terroir	witbier	5%	Brasserie de Brunehaut	NaN
Brunehaut Tradition	amber	6,5%	Brasserie de Brunehaut	NaN
Brunehaut Village	blond	6,5%	Brasserie de  Brunehaut	NaN
Brunehaut Bio Amber	biologisch	6,5%	Brasserie de  Brunehaut	2009-heden
Brunehaut Bio Blanche	biologisch, witbier	5%	Brasserie de  Brunehaut	2002-heden
Brunehaut Bio Blonde	biologisch	6,5%	Brasserie de  Brunehaut	2009-heden
Brunette	hoge gisting	9%	Brouwerij Van Steenberge voor Hopduvel Gent	NaN
Brussels Framboos	fruitbier	3,5%	Brouwerij Van Steenberge	NaN
Brussels Kriek	fruitbier	5%	Brouwerij Van Steenberge	NaN
Brussels Perzik	fruitbier	4%	Brouwerij Van Steenberge	NaN
"Brussels Fruit Beer ""Apple"""	fruitbier	3,2%	Brasserie Du Bocq	NaN
"Brussels Fruit Beer ""Peaches"""	fruitbier	3,2%	Brasserie Du Bocq	NaN
"Brussels Fruit Beer ""Red Fruit"""	fruitbier	3,2%	Brasserie Du Bocq	NaN
Brussels white	witbier	4.5%	Brouwerij Lefebvre	?-?
Brut	blond aperitiefbier	8%	Brouwerij De Vlier	NaN
Bruynen Moriaen	donker	9%	Brouwerij Van Eecke	?-heden (e ?-heden)
BRWN	hoge gisting, biologisch	7%	De Proefbrouwerij voor Brouwerij Jessenhofke	2009-heden
Bryggja	tripel	8,5%	Brouwerij De Graal voor Bryggja	NaN
Bueckenholt Belge	Spéciale Belge, amber	6,5%	Brouwerij Anders! voor Brouwerij Bueckenholt	NaN
Bueckenholt SaisoN548	Saison, blond	6,1%	Brouwerij Den Triest en Brouwerij Anders voor Brouwerij Bueckenholt	NaN
Buffalo	hoge gisting, donker	6,5%	Brouwerij Van Den Bossche	1907-heden
Buffalo Belgian Stout	stout	9%	Brouwerij Van Den Bossche	2006-heden
Buffalo Bitter	blond	8%	Brouwerij Van Den Bossche	?-heden
Bufo	blond	4,8%	De Proefbrouwerij voor Gageleer cbva-so	2013-heden
Bush 7	amber	7,5%	Brouwerij Dubuisson	1994-2010
Bush Amber	hoge gisting, amber	12%	Brouwerij Dubuisson	1933-heden
Bush Amber Tripel	tripel, amber	12%	Brouwerij Dubuisson	2008-heden
Bush Blond	hoge gisting, blond	10,5%	Brouwerij Dubuisson	1998-heden
Bush Blond Triple	tripel, blond	10,5%	Brouwerij Dubuisson	2008-heden
Bush de Noël	kerstbier	12%	Brouwerij Dubuisson	1991-heden
Bush de Noël Premium	kerstbier, tripel	13%	Brouwerij Dubuisson	1991-heden
Bush Millennium	amber, tripel	13%	Brouwerij Dubuisson	2000-2003
Bush de Nuits	amber, tripel	13%	Brouwerij Dubuisson	2008-heden
Bush Prestige	amber, tripel	13%	Brouwerij Dubuisson	2000-heden
Camaraderie	blond	8%	Brouwerij Bavik	?-?
Cambrinus	Belgische ale	5,1%	Brouwerij Verhaeghe	?-heden
Campus Premium	pils	5%	Brouwerij Huyghe	1993-heden
Campus	sterk donker	7%	Brouwerij Huyghe	1993-heden
Campus Gold	blond	6,2%	Brouwerij Huyghe	?-?
Canaille	witbier	5,2%	Brasserie Grain d'Orge	?-?
Canaster	Scotch	8,7%	Brouwerij De Glazen Toren	2004-heden
Cantillon Geuze	spontane gisting	5%	Brouwerij Cantillon	?-?
Caper Fumatis	donkerbruin	6,3%	Brouwerij Alvinne	?-?
Capoen	amber	6,5%	De Proefbrouwerij	?-?
Captain Cooker Manuka Beer	amber	5,7%	De Proefbrouwerij voor Captain Cooker	2012-heden
Captain Cooker White Manuka Beer	witbier	4,5%	De Proefbrouwerij voor Captain Cooker	?-?
Cara Pils	pils	4,4% - 5,2% (variërend)	Brouwerij Haacht	?-heden
Caracole Ambree	hoge gisting, amber	8%	Brasserie Caracole	1990-heden
Caracole Brune	hoge gisting, bruin	8%	Brasserie Caracole	1990-?
Carioca	witbier	4,8%	De Lion à Plume bij Brasserie de Bastogne	?-?
Carlos	donker, hoge gisting	6,5%	Brouwerij Contreras	2005-heden (e 2005-2006)
Carnavalsbier	blond	6,1%	Brouwerij De Graal voor bierfirma Vacas	?-?
Carrousel	hoge gisting, blond	6%	Brouwerij De Vlier	2011-heden
Caulier Blonde	hoge gisting, blond	6,8%	De Proefbrouwerij voor Caulier Developpement	2009?-heden
Caulier Brune	hoge gisting, amberbruin	6,8%	De Proefbrouwerij voor Caulier Developpement	?-heden
Caulier Gluten free Blonde	hoge gisting, blond	6,8%	De Proefbrouwerij voor Caulier Developpement	?-heden
Caulier Special Extra	hoge gisting, blond	4,3%	De Proefbrouwerij voor Caulier Developpement	?-heden
Caves	hoge gisting, amberkleurig	5,8%	Brouwerij Verhaeghe Vichte	1976-heden
Ceci n'est pas un Barley Wine	gerstewijn	10%	Brasserie Sainte-Hélène	?-heden
Ceci n'est pas une saison	saison	6,5%	't Hofbrouwerijke	2011-heden
Ceci n'est pas une stout	stout	6,5%	't Hofbrouwerijke	2012-heden
Ceci n'est pas une triple	tripel	8%	't Hofbrouwerijke	2012-heden
Celestus (bier)	lager	5%	Brouwerij Haacht	NaN
Celis Pale Bock	bockbier	4,9%	Brouwerij De Smedt	?-?
Celis White	witbier	5%	Brouwerij Van Steenberge ook eve door Brouwerij De Smedt	1992-heden
Celtic Angel	hoge gisting, amber	6,2%	De Proefbrouwerij voor Microbrouwerij Achilles	?-?
Cervesia	hoge gisting, blond	8%	Brouwerij Dupont	1983-heden
Cervoise de l'Avouerie d'Anthisnes	NaN	5%	Brasserie de Silly	?-?
Cesar	tripel	8,5%	Brouwerij Van Steenberge	2011-heden
Cezarken	lager	5,5%	Brouwerij Strubbe voor Brouwerij Crombé	1989 - heden
Chapeau Gueuze	geuze	5,5%	Brouwerij De Troch	?-heden
Chapeau Abricot	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1991? - heden
Chapeau Banana	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1980-heden
Chapeau Cuvée Oude Gueuze	oude geuze	5,5%	Brouwerij De Troch	?-heden
Chapeau Exotic (ananas)	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1994-heden
Chapeau Faro	aangezoete geuze	4,75%	Brouwerij De Troch	1991-heden
Chapeau Fraises	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1991? - heden
Chapeau Framboise	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1991? - heden
Chapeau Kriek	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	? - heden
Chapeau Lemon	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1991? - heden
Chapeau Mirabelle	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1991? - heden
Chapeau Pêche	fruitbier op basis van lambiek	3,5%	Brouwerij De Troch	1991? - heden
Chapeau Tropical	fruitbier	3.5%	Brouwerij De Troch	?-?
Chapeau Winter Gueuze	geuze, kerstbier	5,6%	Brouwerij De Troch	?-heden
Chapeau X-mas	kerstbier	5,6%	Brouwerij De Troch	?-?
Charlie	Blond	6%	Brouwerij Charlie	2020-heden
Charlie	Tripel	8%	Brouwerij Charlie	2020-heden
Charles Quint	lager	8,5%	Haacht	1999-heden
Chimay Blauw	trappist	9%	Abdij Notre-Dame de Scourmont	1948-heden
Chimay Dobbelbock	lage gisting	9%	Abdij Notre-Dame de Scourmont	1862-?
Chimay dorée	blond tafelbier	4,8%	Abdij Notre-Dame de Scourmont	2006-heden
Chimay Rood	trappist	7%	Abdij Notre-Dame de Scourmont	1948-heden
Chimay La Première	trappist	7%	Abdij Notre-Dame de Scourmont	1948-heden
Chimay Wit	tripel	8%	Abdij Notre-Dame de Scourmont	1966-heden
Chimay Cinq Cent	tripel	8%	Abdij Notre-Dame de Scourmont	1966-heden
Chimay Spéciale Cent Cinquante	trappist	10%	Abdij Notre-Dame de Scourmont	2012-2012
Chouffe Biere de Mars	NaN	7,5%	Brouwerij van Achouffe (Duvel-Moortgat)	?-?
Chouffe Bok 6666	donker amber	6,66%	Brouwerij van Achouffe (Duvel-Moortgat)	?-heden
Chouffe Houblon	Indian Pale Ale	8,5%	Brouwerij Achouffe	? - heden
Christmas Leroy	hoge gisting, kerstbier	7,5%	Brouwerij Van Eecke	?-?
Christmas Verhaeghe	hoge gisting, kerstbier	7,2%	Brouwerij Verhaeghe	?-?
Christmas Pale Ale	hoge gisting, kerstbier	6,3%	Brouwerij De Ryck	1986 - heden (e 1986-2007)
Christophe Amber	hoge gisting,	6,5%	Micro Brouwerij VC	1994 - heden
Ciney Blond	hoge gisting, blond	7%	Alken-Maes (vroeger Brouwerij Grade)	1980-heden
Ciney Bruin	hoge gisting, bruin	7%	Alken-Maes (vroeger Brouwerij Grade)	1978-heden
Ciney Speciale 10	hoge gisting, bruin	9%	Alken-Maes (vroeger Brouwerij Grade)	1986-2007
"Clio ""Sister of Apollo"""	golden ale	7,3%	Brouwerij Eutropius in opdracht van Castalia Craft Beers	2018-heden
Cluysenaer Amber	hoge gisting	7%	De Proefbrouwerij voor Brouwerij Cluysenaer	2002-heden
Cluysenaer Cuvée Noir	hoge gisting	8%	De Proefbrouwerij voor Brouwerij Cluysenaer	2011-heden
Cnudde Bizon	fruitbier	5,5%	Brouwerij Cnudde	2000-heden
Cnudde Kriek	fruitbier	5,5%	Brouwerij Cnudde	?-?
Cnudde Oudenaards bruin (Kerkhofbier)	Vlaams oud bruin	5%	Brouwerij Cnudde	1933-heden
Colère Rouge	Belgian dark ale	5%	Brasserie Millevertus	2008-heden
Colleken	B	?%	Brouwerij Van Den Bossche	?-?
Con domus	pils	5%	Brasserie Domus	1985-heden
Content	tripel	7,5%	Brouwerij De Graal voor De Verhuisbrouwerij	2004-heden (e 2004-2004)
Contrapils	pils	5%	Brouwerij Contreras	1954-heden
Contreras' Especial Mars	hoge gisting, lentebier	6,5%	Brouwerij Contreras	1898-heden
Cookie Beer	speciaalbier	8%	Brasserie d'Ecaussinnes	?-?
Coq Hardi	lage gisting, blond	5,5%	Brouwerij Haacht	1972-heden
Cornet	hoge gisting, blond	8,5%	Brouwerij Palm	2014-heden
Corsendonk Agnus	blonde tripel	7,5%	Brouwerij du Bocq voor Corsendonk nv	1982?-heden
Corsendonk Blond	hoge gisting	6,5%	Brouwerij du Bocq voor Corsendonk nv	1982?-heden
Corsendonk Bruin	hoge gisting	6,5%	Brouwerij du Bocq voor Corsendonk nv	1982?-heden
Corsendonk Christmas Ale	kerstbier	8,5%	Brouwerij du Bocq voor Corsendonk nv	?-heden
Corsendonk Dubbel kriek	fruitbier	8,5%	Corsendonk nv	?-heden
Corsendonk Gouden Tripel 10	tripel	9,7%	Corsendonk nv	?-heden
Corsendonk Grand Hops	NaN	6,9%	Corsendonk nv	?-heden
Corsendonk Pater	roodbruin, dubbel	7,5%	Brouwerij du Bocq voor Corsendonk nv	?-heden
Corsendonk Rousse	amber, hoge gisting	8%	Brouwerij du Bocq voor Corsendonk nv	?-heden
Corsendonk Strong Dark	bruinbier	8,3%	Corsendonk nv	?-heden
Corsendonk Triple 11.11.11	tripel (etiketbier)	7,5%	Brouwerij du Bocq voor Corsendonk nv	1982?-heden (e 2011-2011)
Couckelaerschen Doedel	hoge gisting	6,5%	Brouwerij Strubbe	1970-heden
Courage	hoge gisting, winterbier	8%	Brouwerij De Dochter van de Korenaar	2009-heden
Coy'Heimsen	roodbruin, etiketbier	6%	Brouwerij Van Eecke	1955-heden (e ?-?)
Crabbelaer BIEZEBAAZE	Kölsch	5,7%	Brouwerij De Graal voor Brouwerij De 6 Helmen	2021-heden
Crabbelaer HOMMAGE	Bio Tripel	7,9%	Brouwerij De Graal voor Brouwerij De 6 Helmen	2020-heden
Crabbelaer BLOND	saison	7,5%	Brouwerij De Graal voor Brouwerij De 6 Helmen	2014-heden
Crack Pils	lage gisting, pils	5%	Brouwerij Het Sas	1986-heden (e ?-?)
Crianza	mengbier met lambiek	7%	Brasserie de la Senne	?-?
Cristal Alken	lage gisting, pils	4,8%	Alken-Maes (Heineken)	1928-heden
Cristal 1928	lage gisting, pils	5,8%	Alken-Maes (Heineken)	2008-heden
Curtius	hoge gisting, blond	7%	Microbrasserie de la Principauté	?-?
Cuvée 800	NaN	?%	Brouwerij Val-Dieu	?-?
Cuvée Angélique	dubbel, Special Belge	8,3%	Brouwerij De Glazen Toren	2006-heden
Cuvée D'Aubel blond	blond	?%	Brouwerij Val-Dieu	?-?
Cuvée D'Aubel brune	bruin	?%	Brouwerij Val-Dieu	?-?
Cuvée de Bouillon	blond, hoge gisting	6,5%	Brasserie de Bouillon en Les Artisans Brasseurs	1996-heden
Cuvée de Briqville	streekbier	7%	Brouwerij Van Steenberge in opdracht van Brouwerij Van Goethem	?-heden)
Cuvée de Briqville	streekbier	?%	Brouwerij Van Goethem	1950-?
Cuvée de ciney	hoge gisting, bruin	7%	Alken-Maes (vroeger Brouwerij Grade)	1978-heden (e 1978-1980)
Cuvée de Francorchamps	NaN	8%	Brouwerij Lefebvre	1991-?
Cuvée De Koninck	NaN	8%	Brouwerij De Koninck	?-2010
Cuvée de l'an neuf	hoge gisting, bruin	9%	Brasserie Caracole	?-?
Cuvée De l'Ermitage	abdijbier	8%	Brouwerij Union	?-?
Cuvée De Ranke	gemengde gisting	7%	Brouwerij De Ranke	2005-heden
Cuvée De Rochehaut	NaN	8 %	Brasserie Caulier (Péruwelz)	?-heden
Cuvée des Jacobins	lambiek	5,5%	Brouwerij Bockor	?-?
Cuvée des Trolls	hoge gisting, blond	7%	Brouwerij Dubuisson	2000-heden
Cuvée des Trolls Triple	blonde tripel	7%	Brouwerij Dubuisson	2010-heden
Cuvée Delphine	Belgian Royal Stout	13%	De Struise Brouwers bij Brouwerij Deca	?-?
Cuvée d'Erpigny	quadrupel, oak aged	15%	Brouwerij Alvinne	?-?
Cuvée du Château	sterk donker	11%	Brouwerij Van Honsebrouck	2010-heden
Cuvée du Flo Ambrée	hoge gisting, amber	8,5%	Brasserie du Flo	?-?
Cuvée du Flo Blonde	hoge gisting, blond	8%	Brasserie du Flo	?-?
Cuvée du Flo Brune	hoge gisting, bruin	9%	Brasserie du Flo	?-?
Cuvée du Flo Fruit	hoge gisting, fruitbier	6,5%	Brasserie du Flo	?-?
Cuvée du Flo Miel	hoge gisting, honingbier	8,5%	Brasserie du Flo	?-?
Cuvée du Tchesté	hoge gisting	7,5%	Brasserie Les 3 Fourquets in opdracht van de Confrérie du Tchesté de Neufchâteau	?-heden
Cuvée du Tchesté	hoge gisting	8,5%	Brouwerij van Achouffe in opdracht van de Confrérie du Tchesté de Neufchâteau	1994-?
Cuvée Ermesinde	hoge gisting, amber	7,8%	Brasserie Saint-Monon	?-?
Cuvée Freddy	stout	10%	Brouwerij Alvinne	?-?
Cuvée Jeun'homme	blond	6,5%	Brouwerij De Leite	?-?
Cuvée Jolie Môme	hoge gisting, witbier	4,5%	Brasserie du Flo	?-?
Cuvée Lambikstoemper	oude geuze	7%	Brouwerij Boon & De Lambikstoempers	?-?
Cuvée Li Crochon	hoge gisting, bruin	8,7%	Brasserie Du Bocq	?-?
Cuvée Mam'zelle	hoogblond	8,5%	Brouwerij De Leite	?-?
Cuvée René Oude Geuze	oude geuze	5,5%	Brouwerij Lindemans	1995-heden
Cuvée René Oude Kriek	fruitbier op basis van lambiek	6%	Brouwerij Lindemans	1995-heden
Cuvée Saint-Antoine Blonde	abdijbier	7,5%	Brasserie du Flo (voorheen brouwerij du Bocq en brouwerij Van Steenberge)	2005-heden
Cuvée Saint-Antoine Brune	abdijbier, scotch	9%	Brasserie du Flo (voorheen brouwerij du Bocq en brouwerij Van Steenberge)	2005-heden
Cuvée Saint Gilloise	spontane gisting, 100% lambiek	5%	Brouwerij Cantillon	?-?
Cuvée Soeur'Ise	kriekenbier	8,5%	Brouwerij De Leite	?-?
Dagelyckx bier	etiketbier	8%	Brouwerij Jessenhofke	2002-heden (e ?-?)
Darinckdelver	stout	10,5%	Brouwerij Alvinne	?-? (e 2009-heden)
Dark White BBB	hoge gisting	4,5%	Brasserie Fantôme	NaN
De Boomgaard Framboise	fruitbier	4,9%	Brasserie d'Ecaussinnes	2008-heden
de Chokier	hoge gisting, amber	7%	De Proefbrouwerij	2000-heden
De Eycken Balthazar	donkerbruin	9%	Brouwerij Alvinne	?-?
De Garre Tripel	tripel	11,5%	Staminee De Garre (Brouwerij Van Steenberge)	?-? (e?-?)
De Graal Blond	blond	6,5%	Brouwerij De Graal	?-heden
De Graal Dubbel	donker	6,5%	Brouwerij De Graal	?-heden
De Graal Gember	blond	8%	Brouwerij De Graal	?-heden
De Graal SloCK	koperkleurig	6,5%	Brouwerij De Graal	2008-heden
De Graal Tripel	tripel	9%	Brouwerij De Graal	?-heden
De Graal Quest	suikervrij	9%	Brouwerij De Graal	?-heden
De Graal Triverius	witbier	6,8%	Brouwerij De Graal	?-heden
De Hoop	blond	9%	De Dolle Brouwers	?-?
De Kavijaks	India pale ale	7%	De Dolle Brouwers voor Kaffee Kavijaks	?-?
De Koninck Blond	blond	?%	Brouwerij De Koninck	1999-2010
De Koninck Triple d'Anvers	blond	8%	Brouwerij De Koninck (Duvel-Moortgat)	2010-heden
De Koninck Tripel	tripel	8?%	Brouwerij De Koninck	?-2010
De Koninck Winter	robijnrood	6,5%	Brouwerij De Koninck (Duvel-Moortgat)	2011-heden
De Maeght van Gottem	donkerblond	6,5%	Huisbrouwerij Sint-Canarus	?-heden
De Nacht	winterbier	5,2%	Brouwerij Vissenaken	2010-heden
De Poes Blond	blond, ongefilterd, hoge gisting	8%	Brouwerij De Poes	?-?
De Regenboog IJzer	NaN	6%	Brouwerij De Regenboog	?-?
De Skieven Architek	hoge gisting	10,5%	Brouwerij Van Steenberge	?-?
De Verboden Vrucht	hoge gisting	8,5%	Brouwerij De Kluis (InBev)	?-heden
De Vlier X-Mas	kerstbier	8,5%	Brouwerij De Vlier	?-heden
Deinze Export	export	4,6%	Huisbrouwerij Sint Canarus voor JCI Deinze en Leiestreek	2007-?
Delhaize Christmas	etiketbier	9%	Affligem Brouwerij	?-? (e?-?)
Delhaize Tafelbier Blond	tafelbier	1,5%	Brouwerij Piedbœuf (InBev)	?-heden (e?-?)
Delhaize Tafelbier Bruin	tafelbier	1,5%	Brouwerij Piedbœuf (InBev)	?-heden (e?-?)
Deliria	donker, hoge gisting	8,5%	Brouwerij Huyghe	2013-heden
Delirium Nocturnum	blond, hoge gisting	9%	Brouwerij Huyghe	NaN
Delirium Tremens	tripel	9%	Brouwerij Huyghe	1989-heden
Delirium Christmas	kerstbier	10%	Brouwerij Huyghe	?-heden
Delirium Red	fruitbier	8,5%	Brouwerij Huyghe	?-heden
Delta	blond	6%	Brouwerij Anders! voor Brussels Beer Project	?-?
Den Alternatief	lager	5%	Brouwerij Het Alternatief bij Brouwerij Alvinne	?-?
Den Bi3r	tripel	9%	Brouwerij Den Tseut	2009-heden
Den Bras	bruin	7,5%	Brouwerij Den Tseut	2008-2012
Den Drupneuze	winterbier	8,5%	Brouwerij Den Tseut	2008-heden
Den Herberg Amber	amber	5%	Brouwerij Den Herberg	2008?-heden
Den Herberg Blond	blond	5,5%	Brouwerij Den Herberg	2008?-heden
Den Herberg Bruin	bruin	5,5%	Brouwerij Den Herberg	2008?-heden
Den Herberg Tarwe	witbier	5%	Brouwerij Den Herberg	2008?-heden
Den Mulder	blond	8%	Brouwerij Den Tseut	?-?
Den Tseut	blond, speciaalbier	6,5%	Brouwerij Den Tseut	2008-heden
Den Twaalf	hoge gisting	12%	Brouwerij 't Gaverhopke	?-?
Den Zytholoog	blond	6,6%	Brouwerij De Graal voor bierfirma Vacas	?-?
Dendermonde Tripel	abdijbier, tripel	8%	Brouwerij De Block	1997-heden
Dentergems Wit	witbier	5%	Brouwerij Het Anker (voorheen Brouwerij Riva, Brouwerij Liefmans)	1985-heden
Deugniet	tripel (etiketbier)	7,3%	Brasserie Du Bocq	1987-heden (e ?-heden)
DeuS	speciaalbier, blond	11,5%	Brouwerij Bosteels	2002-heden
Diabolici	tripel	8%	Groep John Martin	2011-heden
Dief! Copper	donker, hoge gisting	9,4%	Brouwerij Engilsen	?-?
Dief! Gold	blond, hoge gisting	8%	Brouwerij Engilsen	2012-?
Dief! Silver	blond, hoge gisting	6,5%	Brouwerij Engilsen	?-?
Dikke Jan blond	hoge gisting	5,5%	Brouwerij Dikke Jan	?-heden
Dikke Jan bruin	hoge gisting	8,5%	Brouwerij Dikke Jan	?-heden
Dikke Jan kriekbier	hoge gisting	6%	Brouwerij Dikke Jan	?-heden
Dikke Jan quadruple	hoge gisting	10,5%	Brouwerij Dikke Jan	?-heden
Dikke Jan tripel	hoge gisting	7%	Brouwerij Dikke Jan	?-heden
Dikkenek	fruitbier	6,7%	Brasserie Lefebvre	?-heden
Dikkenek	NaN	6,1%	Brouwerij De Smedt voor Brouwerij Dikkenek	1992?-?
Dikke Mathile	hoge gisting	6%	Brouwerij Strubbe	1986-heden
Diôle	Belgian ale	6,5%	Brasserie des Carrières	?-?
Dobbel Palm	hoge gisting	6%	Brouwerij Palm	1947-heden
Dobbelen	hoge gisting	8%	Brouwerij Roman	?-?
Dobbelken Amber	streekbier, amber	6,5%	Brouwerij Strubbe	2010-heden
Dobbelken Bruin	streekbier, bruin	5%	Brouwerij Strubbe	1985-heden
Dogabier	etiketbier	6,5%	Huisbrouwerij Sint-Canarus	?-? (e ?-?)
Domesticus Tripel	streekbier, tripel	8%	Brouwerij De Leite door Domesticus	2016-heden
Doiminicains Dubbel	hoge gisting, blond	6,9%	Brasserie 3F	2014-heden
Doiminicains Quadrupel	hoge gisting, blond quadrupel	9,2%	Brasserie 3F	2014?-heden
Doiminicains Tripel	hoge gisting, blond tripel	8,2%	Brasserie 3F	2014-heden
Dominus Dubbel	abdijbier	6,5%	Group John Martin	?-?
Dominus Tripel	abdijbier, tripel	8%	Group John Martin	?-?
Donkere Stoere	sterk donker	8,2%	Brouwerij DijkWaert	2010-heden (e 2010-2012)
Dort Urtyp	NaN	6,2%	Brasserie De Silly	?-?
Double Bie	bruin	6,5%	Brouwerij De Bie	?-?
Double de Brabant	dubbel, donker	6,5%	Groep John Martin	?-?
Double Enghien Blonde	hoge gisting, blond	7,5%	Brasserie de Silly	?-?
