beer_name	Untappd_rating	Untappd_ibu	production_status
Montagnarde Altitude 6	3.192	N/A	No longer in production
Brune	3.694	30.0	Available
Seaking Blond	3.241	N/A	Available
Montagnarde	3.495	N/A	No longer in production
Achel Blond 8	3.668	20.0	No longer in production
Blanche des Honnelles	3.373	N/A	Available
Smisje Bananenbier	N/A	N/A	N/A
Smisje Dubbel	3.544	N/A	No longer in production
Smisje Dubbel Dadel	N/A	N/A	N/A
Smisje Honingbier	N/A	N/A	N/A
Smisje Kerst	3.668	N/A	No longer in production
Smisje Tripel	3.449	N/A	No longer in production
't Zelfde	3.055	N/A	No longer in production
621	4.112	27.0	No longer in production
Seaking Bruin	2.99	N/A	Available
Seaking Tripel	3.419	N/A	Available
Bistro Zee Zee	3.299	N/A	Available
Aarschotse Bruine	2.919	N/A	No longer in production
Val de Sambre 6 (Ambrée)	N/A	N/A	N/A
Blonde des Peres sur lie	3.308	20.0	Available
Brune des Peres sur lie	3.27	N/A	No longer in production
Kruidig Blondje	3.486	N/A	Available
Jubbles	3.386	60.0	No longer in production
Super Noel	3.436	40.0	No longer in production
Triple Blonde sur lie	3.623	N/A	No longer in production
Triple Brune sur lie	3.765	N/A	No longer in production
Spéciale Noël	3.584	N/A	Available
Abdij Dendermonde Tripel	3.262	N/A	Available
Achel Bruin 8	3.708	24.0	No longer in production
Achel Blond Extra 9.5	N/A	N/A	N/A
Adelardus Dubbel	3.452	N/A	Available
Adelardus Tripel	3.508	N/A	No longer in production
Adler	3.733	40.0	No longer in production
Adriaen Brouwer	3.608	N/A	No longer in production
Affligem Blond	3.534	24.0	Available
Affligem Dubbel	3.451	21.0	Available
Affligem Tripel	3.666	N/A	Available
Akila Export	N/A	N/A	N/A
Akila Pils	N/A	N/A	No longer in production
Alvinne Blond	3.664	N/A	Available
Mussebier	3.475	N/A	Available
Alvinne Bruin	4.098	N/A	No longer in production
Alvinne Extra Blond	N/A	N/A	No longer in production
Ambiorix Dubbel Ongefilterd	N/A	N/A	N/A
Ambrel	N/A	N/A	No longer in production
Antoon	3.31	N/A	Available
Arabier	3.469	25.0	No longer in production
Artevelde	3.434	N/A	Available
Artevelde Grand Cru	3.434	N/A	Available
Augustijn blond	3.53	21.0	No longer in production
Augustijn Grand Cru	3.6	N/A	No longer in production
Babbelaar	3.344	N/A	Available
Bloody Cowboy	3.154	N/A	Available
Balthazar	3.619	N/A	No longer in production
BullsEye	3.433	N/A	No longer in production
Vibb Kartuizers	3.337	N/A	No longer in production
VIBB Prior	3.417	N/A	Available
VIBB Blond	3.219	N/A	Available
Bavik Pony-Stout	2.567	N/A	Available
Bavik Premium Export	3.187	N/A	Available
Bavik Premium Pils	3.323	22.0	Available
Bavik Triple Bock	2.489	N/A	Available
Tournee Beaurinoise	3.199	N/A	Available
Beersel Bio	3.18	N/A	No longer in production
Beersel Blond	3.291	20.0	No longer in production
Beersel Tarwe	3.106	N/A	No longer in production
VIBB Bio	3.217	N/A	Available
Bel Pils	2.846	N/A	No longer in production
Big Chouffe	3.819	20.0	No longer in production
La Chouffe	3.819	20.0	Available
Le Tarzan Flamand	3.814	N/A	Available
Preutekoeler	3.22	N/A	Available
't Jefke	3.5	N/A	Available
Ne Janneman	3.115	N/A	Available
la Vieille Salme	3.53	34.0	No longer in production
Chouffe-bok 6666	3.477	19.0	No longer in production
N'Ice Chouffe	3.66	25.0	No longer in production
Alken Faro	2.442	N/A	Available
Milleneir Baarle Nassau - Baarle Hertog	N/A	N/A	No longer in production
Anglo pils	3.754	N/A	Available
La Rhétorique	3.875	N/A	Available
't Muzikantje	3.28	N/A	Available
Cristal Alken	3.04	28.0	No longer in production
'T Wiske	2.909	N/A	Available
Afschuimer	N/A	N/A	N/A
Arvaria Blond Hop	3.369	N/A	Available
Zulte	3.263	N/A	No longer in production
Reinaert amber	3.449	N/A	Available
Reinaert tripel	3.571	35.0	Available
Gouden Carolus Classic	3.736	25.0	No longer in production
B.Less	4.158	N/A	Available
Mechelschen bruynen	3.55	30.0	No longer in production
L'Aldegonde brune	N/A	N/A	N/A
L'Aldegonde blonde	N/A	N/A	N/A
Marlagne blanche	N/A	N/A	N/A
Belzebubs Bulldozer	3.348	N/A	Available
Bass pale ale	3.325	49.0	No longer in production
Bergenbrau	N/A	N/A	No longer in production
Centric Blond	3.159	N/A	Available
C.T.S. Scotch	3.265	N/A	No longer in production
Campbell's scotch	3.268	N/A	No longer in production
Centric Tripel	3.359	N/A	Available
Ninoofse Col Blond	3.174	N/A	Available
Ginder ale	2.806	N/A	No longer in production
Drapo	3.387	N/A	No longer in production
La Victoire	3.538	N/A	Available
Horse ale	4.021	98.0	Available
Julius	4.483	72.0	No longer in production
Léon Dégustation	3.316	18.0	Available
Erman	N/A	N/A	No longer in production
Graaf Lodewijk Van Loon	3.245	N/A	Available
Lamot pilsor	N/A	N/A	N/A
Loburg	2.906	N/A	No longer in production
Piedboeuf blond	1.885	N/A	Available
Piedboeuf brune	N/A	N/A	N/A
Safir	3.537	N/A	Available
Lerareling Bruin	N/A	N/A	N/A
Minnewoater	N/A	N/A	N/A
Stella Artois	3.271	24.0	Available
Nachtoileken	N/A	N/A	No longer in production
Stella Artois light	2.755	N/A	No longer in production
Stella Artois NA	2.737	20.0	Available
Supra pils	N/A	N/A	No longer in production
Opstal	3.15	29.0	Available
Vieux Temps	2.94	N/A	No longer in production
Whitbread extra stout	2.811	N/A	No longer in production
Whitbread pale ale	2.944	N/A	No longer in production
Wiel's	2.525	N/A	No longer in production
Campbell's christmas	3.458	N/A	No longer in production
Oud-Hansbeeks Blondje	N/A	N/A	N/A
Bavik Dinner beer blond	2.345	N/A	Available
Bavik Dinner beer faro	2.44	N/A	Available
Export	3.308	29.0	Available
Saint-Sylvain	N/A	N/A	N/A
Sjotbiker	3.154	70.0	Available
Stravvn Dries	3.316	N/A	Available
Surprise Kriek	3.421	N/A	Available
Bavik Witbier	3.462	11.0	No longer in production
Fancy	4.095	N/A	Available
Goldburg	2.067	N/A	No longer in production
Petrus triple	3.461	26.0	No longer in production
Petrus speciale	3.124	N/A	No longer in production
Hof Wijmenier	3.627	N/A	Available
Tarcis	3.593	N/A	Available
La Becasse framboise	2.923	N/A	Available
La Becasse gueuze lanbic	3.694	N/A	Available
La Becasse kriek extra	N/A	N/A	N/A
Belle-Vue framboise	2.99	N/A	No longer in production
Belle-Vue gueuze	2.971	5.0	No longer in production
Belle-Vue kriek	3.2	10.0	No longer in production
Belle-Vue kriek LA	3.2	10.0	No longer in production
Belle-Vue Selection Lambic	2.683	N/A	No longer in production
Dekoninck gueuze	N/A	N/A	No longer in production
Dekoninck kriek	3.737	N/A	No longer in production
Vesbier	3.381	35.0	Available
De Neve gueuze	4.297	N/A	No longer in production
Geronimo Grape Ale	3.553	25.0	Available
De Neve kriek	3.368	N/A	No longer in production
Zot van Brakel	3.555	N/A	Available
Belle-Vue Kriek Primeur	3.198	N/A	No longer in production
La Becasse kriek lambik	3.091	N/A	Available
Krukker	N/A	N/A	N/A
Belle-Vue kriekenlambik	N/A	N/A	N/A
Belle-Vue oude lambik	N/A	N/A	N/A
Bel'chic	3.41	N/A	No longer in production
Hellekapelle	3.079	28.0	Available
Helleketelbier	N/A	N/A	N/A
Zatte Bie	3.327	22.0	No longer in production
La Bruyere blonde	3.25	25.0	Available
La Bruyere brune	N/A	N/A	No longer in production
Billie Vanillie	3.386	25.0	Available
Hoppy Ending	3.483	N/A	No longer in production
Ijssalon Bianca	3.235	20.0	Available
Nonkel Hoop	3.802	65.0	Available
Jesus Kveik Superstar	3.552	70.0	Available
RelaTiny	3.364	60.0	Available
Fakir	3.312	N/A	Available
Singing in the Rye	3.459	40.0	Available
Weiss Weiss Baby	3.359	22.0	Available
La Malognarde blonde	N/A	N/A	N/A
La Malognarde brune	N/A	N/A	N/A
Beetnik	3.397	30.0	No longer in production
Bitte Ein Biet	N/A	30.0	No longer in production
Blok Saison	N/A	N/A	No longer in production
La St. Quirin blonde	N/A	N/A	N/A
La St. Quirin brune	N/A	N/A	N/A
Blok IPA Bier	N/A	N/A	N/A
Biere de Paques	3.064	N/A	No longer in production
Dark Saison	3.656	N/A	No longer in production
Don't Mention the War	3.444	N/A	No longer in production
Dorstvoeding	3.513	30.0	Available
Black Ghost	3.753	N/A	No longer in production
Brise-Bonbons	3.757	N/A	No longer in production
Fantome Saison	3.87	N/A	Available
Magic Ghost	3.632	N/A	Available
Chimay Tripel	3.731	38.0	No longer in production
Chimay Rood	3.728	19.0	No longer in production
Chimay Blauw	3.901	35.0	No longer in production
Chimay  Dorée	3.554	16.0	No longer in production
Rochefort 8	3.848	22.0	No longer in production
Rochefort 6	3.714	35.0	No longer in production
Rochefort 10	4.059	27.0	No longer in production
Westmalle dubbel	3.694	30.0	No longer in production
Westmalle Tripel	3.815	40.0	Available
Westvleteren Blond	4.017	41.0	No longer in production
Westvleteren 8	4.192	35.0	No longer in production
Westvleteren 12	4.486	38.0	No longer in production
Chouffe, Biere de Mars	3.323	N/A	No longer in production
Chouffe, Biere du soleil	3.54	N/A	No longer in production
Anker Blond	3.922	17.0	No longer in production
Boscoli	3.255	11.0	Available
Blusser	3.533	30.0	No longer in production
Gouden Carolus Imperial Dark	4.055	15.0	No longer in production
Gouden Carolus Christmas	3.612	11.0	Available
Gouden Carolus Tripel	3.821	30.0	Available
Biere du Boucanier Bonde	3.524	30.0	Available
Bink blond	3.287	30.0	No longer in production
Bink bruin	3.279	N/A	Available
Aonjaoger	N/A	N/A	N/A
Boecht van den Afgrond (tot 2008)	N/A	N/A	N/A
Eliske	N/A	N/A	No longer in production
Winterkoninkske	3.551	N/A	No longer in production
Nutty By Nature	3.767	24.0	Available
Rabarbarella	3.2	27.0	Available
Kriek 3 fonteinen	4.188	N/A	No longer in production
Oude geuze	3.379	22.0	Available
Nounnette	3.284	N/A	No longer in production
Nuits Blanches	3.294	14.0	No longer in production
La Cervoise de Franchimont	3.459	N/A	Available
La Merveilleuse de Chevremont Blond	3.438	N/A	Available
Val-Dieu Blonde	3.448	18.0	No longer in production
Val-Dieu Brune	3.499	19.0	No longer in production
Val-Dieu Biere de Noel	3.552	18.0	No longer in production
Val-Dieu Triple	3.672	20.0	No longer in production
Serafijn Blond	3.274	N/A	Available
Serafijn Donker	3.308	N/A	No longer in production
Serafijn kerstlicht	3.264	N/A	No longer in production
Serafijn Licht	3.483	N/A	Available
Serafijn Tripel	3.417	32.0	Available
Serafijn Gold	N/A	N/A	N/A
Serafijn Grand Cru	3.525	N/A	Available
Celtic Angel	3.163	N/A	No longer in production
Serafijn tarwe	N/A	N/A	N/A
Ritmica Goud	N/A	N/A	N/A
Affligem Patersvat Blond	3.487	N/A	Available
Anker bok	3.392	26.0	No longer in production
Atomium Premier Grand Cru	3.869	N/A	No longer in production
Sint-Ursula Drinkt	N/A	20.0	N/A
Blanche des Neiges	3.421	12.0	Available
Tropical Tripel	3.86	N/A	Available
Bock Premium Pils	2.97	N/A	Available
Boerinneken	3.485	18.0	Available
Boerken	3.441	N/A	Available
Brigand	3.503	N/A	No longer in production
Brugge Tripel	3.58	35.0	No longer in production
Brugge Blond	3.406	23.0	Available
Steenbrugge Dubbel bruin	3.334	23.0	No longer in production
Steenbrugge Tripel	3.493	N/A	No longer in production
Ciney Blonde	3.437	24.0	No longer in production
De Graal Blond	3.341	20.0	Available
De Graal Dubbel	3.267	N/A	Available
De Graal Gember	3.294	N/A	Available
De Graal Special	3.287	34.0	Available
De Graal Tripel	3.497	N/A	Available
De Koninck blond	3.174	28.0	No longer in production
De Koninck tripel	3.642	23.0	No longer in production
De Koninck	3.338	23.0	No longer in production
Saison Speciale Amarillo	3.912	N/A	Available
Cuvee De Koninck	3.317	N/A	No longer in production
Ne Kopstoot	3.244	N/A	Available
Belle de Pevele	3.196	N/A	No longer in production
Biere Du Mont Saint - Aubert	3.331	N/A	No longer in production
Hefe Weisse Naturtrüb	3.672	16.0	Available
Bio Blanche	3.196	17.0	Available
Beiverken	3.443	N/A	Available
Bar Bier	3.442	48.0	Available
Noel	3.475	22.0	No longer in production
Makasi	N/A	N/A	No longer in production
L' Ecume des Jours	3.082	N/A	No longer in production
Pere Abbe Blond	N/A	N/A	No longer in production
Pere Abbe Bruin	3.728	19.0	No longer in production
Rameé Ambree	3.453	N/A	Available
Ramée Blonde	3.405	N/A	No longer in production
St-Martin Blond	3.462	19.0	No longer in production
St-Martin Lumière d'hiver	N/A	N/A	N/A
St-Amand	3.669	N/A	No longer in production
Triverius	3.359	N/A	Available
Bombastic	3.421	45.0	No longer in production
Culture Clash	3.28	30.0	Available
Bornem dubbel	3.392	N/A	No longer in production
Bornem tripel	3.467	25.0	No longer in production
Gulden Draak	3.773	30.0	Available
Cuvee des Trolls	3.469	19.0	Available
Bush Amber	3.618	25.0	Available
Bush blond	3.62	21.0	Available
Bush de noel	3.723	21.0	No longer in production
Bush Prestige	3.943	21.0	No longer in production
Bush 7%	3.488	40.0	No longer in production
De Verboden Vrucht	3.494	25.0	No longer in production
Hoegaarden Grand Cru	3.649	N/A	No longer in production
Hoegaarden Witbier	3.551	15.0	Available
Hoegaarden Speciale	3.425	N/A	Available
Arend tripel	3.598	N/A	No longer in production
Flavas	3.426	N/A	No longer in production
Biere de Beloeil	3.732	N/A	No longer in production
Moinette blonde	3.566	35.0	No longer in production
Moinette brune	3.542	35.0	No longer in production
Saison Dupont	3.69	30.0	No longer in production
Avec Les Bons Voeux	3.802	28.0	No longer in production
Cervesia	3.739	N/A	No longer in production
Redor Pils	3.192	25.0	Available
Biolégère	3.02	N/A	No longer in production
Biere de miel bio	3.469	18.0	Available
Blanche De Hainaut Biologique	3.258	N/A	Available
Moinette Biologique	3.611	N/A	No longer in production
Santé-23!	3.822	N/A	Available
Berenbier	3.312	N/A	Available
Bieken	3.369	N/A	Available
Santa Bee	3.312	N/A	No longer in production
Pa-Gijs	3.186	N/A	Available
Prinsesken	2.289	N/A	Available
Waaslander	3.264	N/A	Available
Waase wolf	3.186	N/A	No longer in production
Bios Vlaamse Bourgogne	3.513	N/A	No longer in production
Bière des Ours	3.312	N/A	Available
Binchoise Blonde	3.466	25.0	No longer in production
Binchoise Brune Tradition	3.494	N/A	Available
Cuvee de Trazegnies Speciale de Noel	N/A	N/A	N/A
Flora	4.455	N/A	No longer in production
Blanche de Namur	3.405	11.0	No longer in production
Redbocq	3.182	N/A	Available
Applebocq	3.05	N/A	Available
Saison Regal	3.79	N/A	No longer in production
Saint Benoit Blond	N/A	N/A	N/A
Saint Benoit Brune	N/A	N/A	N/A
Triple Moine	3.48	27.0	Available
Deugniet	3.535	25.0	Available
Gauloise Brune	3.499	16.0	No longer in production
Gauloise Ambrée	3.247	30.0	Available
Gauloise Blonde	3.399	30.0	No longer in production
Regal Christmas	3.293	N/A	No longer in production
Bloemenbier	3.084	N/A	Available
Scotch	3.343	18.0	No longer in production
Braven Apostel Kerstbier - nu Braven Apostel donker	N/A	N/A	N/A
Braven Apostel Tripel	3.45	N/A	Available
Dale Blond	3.508	N/A	No longer in production
Gageleer Original	3.411	N/A	No longer in production
Koantjesbier	N/A	N/A	N/A
Nazareth 2000	4.267	N/A	No longer in production
Nog eentje tripel	3.261	25.0	Available
Reinaert Grand Cru	3.579	N/A	Available
Rick's Kersenbier	2.968	N/A	Available
Shii-take	N/A	30.0	No longer in production
Sjarelke donker	N/A	N/A	N/A
Vlaamse Primitief	3.53	N/A	Available
Wilderik	N/A	N/A	N/A
Zeunt	3.319	N/A	No longer in production
Palm (speciale)	3.357	18.0	No longer in production
Dobbel Palm	3.243	19.0	No longer in production
Palm Royale	3.474	N/A	No longer in production
Rodenbach Classic	3.454	30.0	No longer in production
Rodenbach Grand Cru	3.652	35.0	No longer in production
Eyjafjallajökull	4.085	98.0	No longer in production
Blondine	3.607	18.0	Available
Brunette	3.533	24.0	No longer in production
Strokkur	3.642	50.0	No longer in production
Achel 7 Bruin	3.618	N/A	No longer in production
Den Beversen Tripel	3.202	37.0	Available
Jackie's Badwater	3.792	40.0	No longer in production
Pimp Your Rye	3.286	41.0	Available
Delirium Christmas	3.763	26.0	No longer in production
Delirium Nocturnum	3.767	24.0	No longer in production
Delirium Tremens	3.853	24.0	Available
Biere de Corsaire	2.736	N/A	Available
Campus	3.089	N/A	No longer in production
Campus Gold	N/A	N/A	No longer in production
Golden Kenia	2.693	N/A	No longer in production
La Guillotine	3.571	39.0	Available
La Poiluchette Blanche de Thy	N/A	N/A	N/A
La Poiluchette Blonde	3.317	N/A	Available
La Poiluchette Brune	3.224	N/A	Available
Minty	3.424	N/A	No longer in production
Gulden Spoor 1302	3.155	N/A	Available
Mongozo Banana	3.03	N/A	Available
Mongozo Coconut	3.091	5.0	Available
Mongozo Quinua	2.467	N/A	Available
St. Idesbald Blond	3.415	N/A	No longer in production
St. Idesbald Dubbel	3.4	30.0	No longer in production
St. Idesbald Tripel	3.518	24.0	No longer in production
Blanche de Noel	3.706	N/A	No longer in production
Ciney Brune	3.404	30.0	No longer in production
Ciney Speciale	3.546	N/A	No longer in production
Corsendonk Agnus	3.631	30.0	No longer in production
Corsendonk Christmas Ale	3.681	23.0	No longer in production
The Knight's Ale	3.491	N/A	Available
Bière des Cyclistes	3.114	N/A	Available
Croy Blond	3.5	N/A	No longer in production
Croy Dubbel	3.42	N/A	No longer in production
Abdij van Roosenberg Tripel	3.434	N/A	No longer in production
Abdij van Roosenberg blond	3.355	N/A	No longer in production
Abdij van Roosenberg Dubbel	3.277	N/A	No longer in production
Abdij van Roosenberg Pils	N/A	N/A	N/A
Bassevelds Ezelsbier	3.356	N/A	Available
Belgissimus	N/A	N/A	N/A
Biere du Boucanier Dark	3.567	N/A	Available
Biere du Boucanier Red	3.492	N/A	Available
Bios Hop en Mout Blond	N/A	N/A	N/A
Bios Hop en Mout Bruin	N/A	N/A	N/A
Bios Kriekenbier	3.448	N/A	Available
Bruegel	N/A	N/A	No longer in production
Corsendonk Pater	3.631	30.0	No longer in production
Jazz Black Cognac Magic	3.705	N/A	No longer in production
Drakson Red	3.382	50.0	Available
Ertvelds Wit	3.777	N/A	Available
Ever	N/A	N/A	No longer in production
Gentse Tripel	3.552	N/A	No longer in production
Gravensteenbier Tripel	N/A	N/A	N/A
Gulden Draak Vintage	3.887	N/A	No longer in production
Keizersberg	3.502	N/A	Available
Leute bokbier	3.456	30.0	No longer in production
Lowie Kators	N/A	N/A	N/A
Maerlant Damse Tripel	3.496	N/A	Available
Monseigneur	3.659	50.0	Available
Monseigneur Grand Cru	N/A	N/A	No longer in production
nen Turf	3.459	N/A	Available
Mam’zèle Di Bassîndje	3.525	N/A	Available
Once You Go Black	3.753	50.0	No longer in production
Piraat (10.5)	N/A	N/A	N/A
Sioen (Maeseyker Kloosterbier)	N/A	N/A	N/A
Sparta Pils	2.669	N/A	Available
Spitfire Oud Balegems	3.252	N/A	Available
St. Adriaans Abdijbier Donker	3.166	N/A	Available
Stropken	3.35	N/A	No longer in production
Tremeloos Damiaanbier	3.391	N/A	No longer in production
Saturnalia	3.793	N/A	Available
Vivty	N/A	N/A	No longer in production
Yersekes Mosselbier	2.358	N/A	Available
Czaar Peter	3.449	35.0	Available
Dikke Mathile	3.021	N/A	Available
Couckelaerschen Doedel	3.048	N/A	Available
Dobbelken bruin	2.879	N/A	Available
X Marks the Spot	3.828	N/A	No longer in production
Hoeve bier	3.141	N/A	No longer in production
Houten Kop	3.139	N/A	No longer in production
Ichtegems Oud Bruin	3.691	N/A	Available
Keyte Oostendse Tripel	3.416	N/A	Available
Kriekenbier	3.548	20.0	Available
Oud Bier	2.824	N/A	Available
Pee Klak	2.944	N/A	No longer in production
Pee Klak Royal	3.204	N/A	Available
Pilsen	3.258	11.0	Available
Snoek Bruin	3.283	N/A	Available
Strubbe Pils	3.035	19.0	Available
Vlaskop	3.038	N/A	Available
Bruges Golden Years	3.475	N/A	Available
Duvel	3.723	33.0	Available
Duvel Groen	3.477	35.0	Available
Abbaye de Bonne Esperance Blonde	3.373	N/A	No longer in production
Saison 1900	3.207	N/A	No longer in production
Floreffe Prima Melior	3.424	20.0	Available
Barbar	3.488	20.0	No longer in production
Barbar Winterbok	3.489	25.0	Available
Belgian Kriek	3.565	18.0	Available
Blanche de Bruxelles	3.547	18.0	No longer in production
Floreffe Blond	3.279	N/A	Available
Floreffe Dubbel	3.231	N/A	Available
Floreffe Tripel	3.459	30.0	Available
Floreffe Wit-Bier	N/A	N/A	N/A
Monachus Bruin	3.493	N/A	Available
Abbaye de Malonne Blonde	3.305	N/A	Available
Abbaye de Malonne Brune	3.37	N/A	Available
Moeder Overste	3.477	35.0	Available
Newton	2.932	N/A	No longer in production
Belgian Framboises	3.124	N/A	No longer in production
Belgian Peches	3.187	N/A	No longer in production
Bon Secours Blonde	3.415	23.0	No longer in production
Blonde de Noel	3.665	N/A	No longer in production
Bon Secours Brune	3.3	19.0	No longer in production
Caulier Saaz	N/A	N/A	No longer in production
RedSour Goosebeer	N/A	24.0	N/A
Bon Secours Ambree	3.313	21.0	No longer in production
L'ampounette de Redu	N/A	N/A	N/A
La cuvee du Trait	N/A	N/A	No longer in production
Bon Secours Myrtille	3.241	26.0	No longer in production
Oude Geuze	3.379	22.0	Available
Oude Geuze   Mariage Parfait	3.799	20.0	No longer in production
Monachus Blond	3.293	N/A	Available
Kriek	3.565	18.0	Available
Oude Kriek	4.188	N/A	Available
Framboise	3.769	12.0	Available
Duivels Bier	3.479	N/A	No longer in production
Bosbier	2.86	13.0	No longer in production
Limburgse Witte	3.47	15.0	Available
Pax pils	2.924	20.0	Available
Kriekenbier Lager	3.751	22.0	Available
Ops-ale	3.099	21.0	No longer in production
Bokkereyer	3.128	23.0	No longer in production
Sint Gummarus Dubbel	3.412	29.0	Available
Sint Gummarus Tripel	3.519	29.0	Available
Bilzers Bruin	N/A	N/A	N/A
Gigant	3.471	32.0	Available
Itters Bruin	2.454	8.0	Available
Cuvee Angelique	3.657	35.0	Available
Saison D'Erpe-Mere	3.739	35.0	No longer in production
Ondineke	3.697	N/A	No longer in production
Jan De Lichte	3.64	15.0	Available
Canaster	3.631	N/A	Available
Maes	3.491	22.0	Available
Grimbergen Blond	3.501	29.0	Available
Grimbergen Dubbel	3.584	22.0	No longer in production
Grimbergen Tripel	3.635	5.0	No longer in production
Grimbergen Optimo Bruno	3.585	N/A	No longer in production
Grimbergen Cuvee de l'Ermitage	3.63	N/A	No longer in production
Grimbergen Cuvee Speciale	N/A	N/A	No longer in production
Grimbergen Roussa	3.375	N/A	No longer in production
Brugs	3.758	35.0	No longer in production
Mort Subite Gueuze	3.271	N/A	No longer in production
Mort Subite Kriek Lambic	3.496	N/A	No longer in production
Mort Subite Xtreme Kriek	3.562	N/A	Available
Mort Subite Xtreme Framboise	3.322	N/A	Available
Monachus Russian Imperial Stout	3.819	64.0	Available
Hapkin	3.501	29.0	No longer in production
Lager?	3.124	26.0	Available
IPA!	3.701	51.0	Available
Maes Nature	2.5	N/A	No longer in production
Judas	3.487	N/A	Available
Golding Campina	3.153	N/A	Available
Alken Blonde Special	2.203	N/A	Available
Freedom Pils	3.177	N/A	No longer in production
Grimbergen Pater Familias	3.1	N/A	No longer in production
Louwaege's Kriek	2.705	N/A	No longer in production
Maes Cool	N/A	N/A	No longer in production
Watneys Scotch Ale	3.333	N/A	Available
Boskeun	3.705	30.0	No longer in production
De Kavijaks	N/A	N/A	No longer in production
Dulle Teve	3.747	N/A	No longer in production
Padel Blond	3.431	23.0	Available
Lichtervelds Blond	3.553	N/A	No longer in production
Oeral	3.7	N/A	No longer in production
Oerbier	3.712	N/A	No longer in production
Stille Nacht	3.916	N/A	No longer in production
Kasteel Donker	3.636	N/A	No longer in production
Kasteel Blond 11	3.634	30.0	Available
St. Louis Gueuze	3.713	N/A	No longer in production
St. Louis Kriek	3.495	N/A	No longer in production
St. Louis Premium Kriek	3.495	N/A	Available
St. Louis Premium framboise	3.737	N/A	Available
St. Louis Premium Peche	3.448	N/A	Available
St. Louis Premium faro	3.27	N/A	Available
St. Louis Premium Cassis	3.481	N/A	No longer in production
Gueuze Fond Tradition	3.713	N/A	No longer in production
Bacchus	3.682	N/A	No longer in production
Brigand Christmas Beer	3.475	N/A	No longer in production
Kasteel Blond 7	3.519	N/A	No longer in production
St. Louis Premium Glühkriek	N/A	N/A	N/A
Vlaamsch Wit	3.344	N/A	Available
Sensalost	3.474	N/A	Available
Buffalo 1907	3.19	N/A	Available
Colleken	N/A	N/A	No longer in production
Kerstpater	3.417	N/A	No longer in production
Lamoral	3.357	N/A	No longer in production
Pater Lieven Blond	3.371	N/A	Available
Pater Lieven Bruin	3.249	N/A	Available
Pater Lieven Tripel	3.499	N/A	No longer in production
Zillateur	3.415	N/A	Available
Geuze 100% Lambik Bio	4.183	N/A	No longer in production
Geuze 100% Lambik	4.183	N/A	No longer in production
Kriek 100% Lambik	4.264	N/A	No longer in production
Rose de Gambrinus	4.276	N/A	No longer in production
Grand Cru Bruocsella	3.957	N/A	No longer in production
Iris	4.256	N/A	Available
Vigneronne	4.44	N/A	No longer in production
Sint-Lamvinus	4.434	N/A	No longer in production
Fou' Foune	4.523	N/A	No longer in production
Lou Pepe Gueuze	4.548	N/A	No longer in production
Caves	3.06	N/A	Available
Duchesse de Bourgogne	3.664	11.0	No longer in production
Echt kriekenbier	3.63	17.0	No longer in production
Vichtenaar	3.14	N/A	No longer in production
Verhaeghe-pils	3.084	N/A	Available
Cambrinus	3.21	N/A	No longer in production
Christmas-Verhaeghe	N/A	N/A	N/A
Gapers Bier Ansold	N/A	N/A	N/A
Kapucienestraetebier	N/A	N/A	N/A
Ninoviet	3.482	N/A	Available
Ouden Bruinen	N/A	N/A	N/A
Pandoer	N/A	N/A	No longer in production
Triple Blond	3.853	24.0	Available
Affligem Noel	3.703	N/A	No longer in production
Celis Pale Bock	3.535	12.0	No longer in production
We Are Horeca Triple	N/A	N/A	N/A
Delhaize Angel	3.031	N/A	Available
Delhaize Brabant Amber	N/A	N/A	N/A
Delhaize Christmas	N/A	N/A	No longer in production
Leeuwse Witte	3.47	N/A	Available
Delhaize Premium Pils	2.218	N/A	Available
Dikkenek	3.291	50.0	No longer in production
Florival Blond	3.176	N/A	No longer in production
Florival Bruin	3.101	N/A	Available
Florival Tripel	3.27	N/A	Available
Florival Winter	3.2	N/A	Available
Napoleon	3.297	N/A	No longer in production
Napoleon Brune	2.923	N/A	Available
Ne Flierefluiter Westerse tripel	3.488	N/A	No longer in production
Op-ale	2.981	N/A	No longer in production
Kwaremont	3.492	25.0	Available
Postel Blond	3.438	30.0	Available
Postel Dubbel	3.389	N/A	Available
Postel Kerstbier	3.494	N/A	No longer in production
Postel Tripel	3.554	N/A	Available
Biezoetje	N/A	N/A	N/A
GB Speciale Amber	N/A	N/A	N/A
Artisan Reuzebier	2.819	N/A	Available
Cezarken	3.271	N/A	Available
Christmas Beer	3.271	24.0	Available
Dance and Glitter	3.293	N/A	Available
Egmont	3.435	N/A	No longer in production
Oud Kriekenbier	3.32	N/A	No longer in production
Oud Zottegems Bier	3.131	N/A	Available
Pee Klak Grand Cru	N/A	N/A	No longer in production
Pee Klak Special	N/A	N/A	No longer in production
Zottegemse Grand Cru	3.412	N/A	No longer in production
Corsendonk blond	3.631	30.0	No longer in production
Uccle Centre	3.329	N/A	Available
Oude Geuze	3.379	22.0	Available
Oude Kriek	4.188	N/A	Available
Dentergems Wit	3.058	N/A	No longer in production
Liefmans Oud Bruin	3.461	N/A	No longer in production
Chimay 150 Green	3.746	31.0	No longer in production
Liefmans Goudenband	3.692	8.0	No longer in production
Liefmans Kriek Brut	3.694	N/A	No longer in production
Liefmans Fruitesse Kriek	3.158	N/A	No longer in production
Abdis blond	3.363	N/A	No longer in production
